StationID,Longitude,Latitude,Height,Remark,Distance_from_Zurich
8503381,8.704121,47.442648999999996,510,"Grafstal, Thalegg",14267.567739713717
8503382,8.727055,47.407934999999995,517,"Illnau, Weisslingerstrasse",14450.085300099594
8503446,8.541715,47.378846,480,Zürich Landesmuseum (See),136.69044538918496
8503447,8.541964,47.371027000000005,406,Zürich Storchen,806.1632603878298
8503449,8.537164,47.359136,409,Zürich Enge (See),2129.5075633492615
8503499,8.544038,47.376539,409,Zürich Central (Polybahn),342.10935958048975
8503500,8.546402,47.376858,446,Zürich Polyterrasse,490.05826203981917
8503508,8.404969,47.405778000000005,388,Dietikon,10631.745785957066
8503509,8.447227999999999,47.399175,393,Schlieren,7377.668464756089
8503512,8.420423,47.398875,389,Glanzenberg,9305.501896955597
8503525,8.402097,47.455813,427,Otelfingen Golfpark,13508.668967859347
8503526,8.472064,47.436563,442,Regensdorf-Watt,8272.520745131427
8503527,8.435578,47.453398,440,Buchs-Dällikon,11485.60461877484
8503528,8.387507000000001,47.454935,427,Otelfingen,14311.803629164717
8503551,8.461696,47.352292,489,"Birmensdorf ZH, Landikon Bach",6575.348120205197
8503565,8.728878,47.358475,487,"Uster, Sportzentrum",14377.89982548815
8503567,8.723497,47.353849,464,"Uster, Spital",14067.915886907182
8503578,8.456272,47.360093,560,"Birmensdorf ZH, Sternen/WSL",6632.142241056296
8503579,8.450792999999999,47.359458000000004,550,"Birmensdorf ZH, Obere Risi",7047.022978607666
8503580,8.447859,47.368109999999994,527,"Uitikon, Schlössli",7042.533013010596
8503598,8.419709,47.318394,570,"Arni AG, Dorf",11250.92478236946
8503610,8.495378,47.368152,453,"Zürich, Triemli",3553.9964526642543
8503633,8.690754,47.343387,464,"Uster, See",11982.158761643603
8503651,8.540788000000001,47.366009999999996,406,Zürich Bürkliplatz (See),1353.6529288849254
8503653,8.553125,47.352624,406,Zürichhorn (See),3003.6827291818963
8503655,8.567523,47.338685,415,Zollikon (See),4849.930714880616
8503657,8.577914,47.319018,406,Küsnacht ZH (See),7165.820017640686
8503659,8.589302,47.303028000000005,419,Erlenbach ZH (See),9138.878536499238
8503660,8.609781,47.283482,423,Herrliberg (See),11763.388508250266
8503661,8.64033,47.267551,407,Meilen (See),14432.152104102945
8503672,8.597597,47.262349,407,Horgen (See),13586.949648392545
8503673,8.58193,47.278625,424,Oberrieden (See),11507.957056077628
8503674,8.568049,47.296690000000005,435,Thalwil (See),9300.918298247847
8503675,8.55838,47.309773,433,Rüschlikon (See),7728.6399188472815
8503677,8.551783,47.322556,406,Kilchberg ZH (See),6246.113224157689
8503681,8.536699,47.34554,406,Zürich Wollishofen (See),3638.592811116841
8503682,8.583922,47.308640999999994,406,Küsnacht ZH Heslibach,8404.809919285743
8503689,8.485735,47.294435,550,"Stallikon, Wolfenhof",10175.832416412495
8503690,8.490338000000001,47.326776,550,"Stallikon, Dorf",6839.02147664501
8503691,8.488822,47.333760999999996,550,"Stallikon, Bleiki",6274.224731797155
8503692,8.474344,47.337715,562,"Wettswil a.A., Dorf",6696.586660129525
8503693,8.466689,47.345627,562,"Wettswil a.A., Heidenchilen",6614.355035433002
8503694,8.493343,47.311457,550,"Stallikon, Gamlikon",8215.830096762953
8503695,8.512602000000001,47.267517,617,"Hausen am Albis, Türlersee",12479.327191497385
8503696,8.482075,47.343294,550,"Stallikon, Sellenbüren",5848.692855245646
8503697,8.486858,47.284304999999996,672,"Aeugstertal, Kloster",11185.236518114874
8503698,8.447051,47.359706,539,"Birmensdorf ZH, Untere Risi",7308.919207931004
8503699,8.454141,47.370537,557,"Uitikon, Dorf",6535.245954676136
8503700,8.626136,47.438718,455,"Bassersdorf, Bahnhof",9335.258450583995
8503709,8.462003,47.368336,585,"Waldegg, Post",5988.717055856701
8503772,8.543466,47.512476,428,"Bülach, Mettmenriet",14935.396908661854
8503781,8.545971,47.505257,428,"Bachenbülach, alte Post",14137.333326370052
8503782,8.510186000000001,47.508067,418,"Höri, Gemeindehaus",14618.325519660204
8503785,8.697374,47.345726,443,"Uster, Schlyffi",12376.561189487977
8503788,8.552338,47.492378,450,"Winkel, Zentrum",12731.390894837446
8503791,8.557191,47.288367,435,"Thalwil, Ebnet",10068.247368968603
8503855,8.596974000000001,47.261671,409,"Horgen, Bahnhof",13643.638966725088
8503857,8.560768,47.483077,450,"Winkel, Bühlhof",11766.586357200065
8503860,8.474034,47.501028999999996,423,"Riedt b. Neerach, Riedacher",14538.460162677231
