id1,lon1,lat1,id2,lon2,lat2,Distance,Walking_time
8588078,8.543938,47.376846,8591288,8.543185000000001,47.377555,318.9397279856501,503
8590569,8.596653,47.38949,8590569,8.596653,47.38949,0.0,120
8591033,8.501311,47.392106,8591033,8.501311,47.392106,0.0,120
8591034,8.507712,47.351991999999996,8591034,8.507712,47.351991999999996,0.0,120
8591035,8.494669,47.379816999999996,8591035,8.494669,47.379816999999996,0.0,120
8591035,8.494669,47.379816999999996,8591363,8.494499000000001,47.378586,451.5273261894475,662
8591036,8.484789,47.374383,8591036,8.484789,47.374383,0.0,120
8591036,8.484789,47.374383,8591037,8.485218,47.375315,356.52295159845886,548
8591037,8.485218,47.375315,8591036,8.484789,47.374383,356.52295159845886,548
8591037,8.485218,47.375315,8591037,8.485218,47.375315,0.0,120
8591038,8.510396,47.378214,8591038,8.510396,47.378214,0.0,120
8591039,8.507252000000001,47.397763,8591039,8.507252000000001,47.397763,0.0,120
8591040,8.561415,47.355305,8591040,8.561415,47.355305,0.0,120
8591041,8.524061999999999,47.410703000000005,8591041,8.524061999999999,47.410703000000005,0.0,120
8591041,8.524061999999999,47.410703000000005,8591285,8.525025999999999,47.411845,480.31584344625986,696
8591043,8.507144,47.399626,8591043,8.507144,47.399626,0.0,120
8591045,8.509528,47.398911,8591045,8.509528,47.398911,0.0,120
8591047,8.572127,47.41088,8591047,8.572127,47.41088,0.0,120
8591051,8.483048,47.388926,8591051,8.483048,47.388926,0.0,120
8591052,8.522872999999999,47.378332,8591052,8.522872999999999,47.378332,0.0,120
8591053,8.537784,47.405896000000006,8591053,8.537784,47.405896000000006,0.0,120
8591056,8.488375999999999,47.391109,8503001,8.48894,47.391481,194.6818748525234,354
8591056,8.488375999999999,47.391109,8591056,8.488375999999999,47.391109,0.0,120
8591056,8.488375999999999,47.391109,8591097,8.487058,47.390077000000005,498.2310767126954,718
8591057,8.489905,47.392066,8503001,8.48894,47.391481,320.25886115557165,504
8591057,8.489905,47.392066,8591057,8.489905,47.392066,0.0,120
8591058,8.531574,47.364128,8503010,8.530805,47.364098999999996,190.51909014333177,349
8591058,8.531574,47.364128,8591058,8.531574,47.364128,0.0,120
8591058,8.531574,47.364128,8591059,8.530457,47.364552,316.73775343903355,500
8591059,8.530457,47.364552,8503010,8.530805,47.364098999999996,186.4934480098984,344
8591059,8.530457,47.364552,8591058,8.531574,47.364128,316.73775343903355,500
8591059,8.530457,47.364552,8591059,8.530457,47.364552,0.0,120
8591060,8.517033999999999,47.384935,8503020,8.517106,47.385195,96.60760749235058,236
8591060,8.517033999999999,47.384935,8591060,8.517033999999999,47.384935,0.0,120
8591062,8.543934,47.412403999999995,8503006,8.544115,47.411528999999994,322.6691343514852,507
8591062,8.543934,47.412403999999995,8580449,8.544789999999999,47.411496,393.3404684975569,592
8591062,8.543934,47.412403999999995,8591062,8.543934,47.412403999999995,0.0,120
8591063,8.545848,47.413339,8591063,8.545848,47.413339,0.0,120
8591064,8.532013000000001,47.370672,8591064,8.532013000000001,47.370672,0.0,120
8591066,8.529525999999999,47.393444,8503015,8.529359,47.393032,156.02581607548527,307
8591066,8.529525999999999,47.393444,8591066,8.529525999999999,47.393444,0.0,120
8591067,8.539946,47.37656,8503088,8.53917,47.377431,371.49967658385765,566
8591067,8.539946,47.37656,8587348,8.539338,47.377241,290.6240789314394,469
8591067,8.539946,47.37656,8591067,8.539946,47.37656,0.0,120
8591070,8.490144,47.388763,8591070,8.490144,47.388763,0.0,120
8591071,8.540446000000001,47.384084,8591071,8.540446000000001,47.384084,0.0,120
8591072,8.590023,47.358503999999996,8591072,8.590023,47.358503999999996,0.0,120
8591073,8.547912,47.40364,8591073,8.547912,47.40364,0.0,120
8591074,8.508709,47.393765,8591074,8.508709,47.393765,0.0,120
8591075,8.513825,47.373585999999996,8591075,8.513825,47.373585999999996,0.0,120
8591076,8.533327,47.404373,8591076,8.533327,47.404373,0.0,120
8591077,8.527857000000001,47.34548,8591077,8.527857000000001,47.34548,0.0,120
8591078,8.555206,47.381199,8591078,8.555206,47.381199,0.0,120
8591079,8.525556,47.374169,8591079,8.525556,47.374169,0.0,120
8591079,8.525556,47.374169,8591227,8.524265,47.374505,342.0555384889252,530
8591080,8.534345,47.347586,8503009,8.533588,47.34744,194.75603298285577,354
8591080,8.534345,47.347586,8591080,8.534345,47.347586,0.0,120
8591080,8.534345,47.347586,8591081,8.532917999999999,47.347033,406.7790598261157,608
8591081,8.532917999999999,47.347033,8503009,8.533588,47.34744,222.66341460288203,387
8591081,8.532917999999999,47.347033,8591080,8.534345,47.347586,406.7790598261157,608
8591081,8.532917999999999,47.347033,8591081,8.532917999999999,47.347033,0.0,120
8591082,8.531976,47.351468,8591082,8.531976,47.351468,0.0,120
8591083,8.511676,47.362839,8591083,8.511676,47.362839,0.0,120
8591083,8.511676,47.362839,8591084,8.511047999999999,47.3619,376.47373282640723,572
8591084,8.511047999999999,47.3619,8591083,8.511676,47.362839,376.47373282640723,572
8591084,8.511047999999999,47.3619,8591084,8.511047999999999,47.3619,0.0,120
8591086,8.530596000000001,47.407538,8591086,8.530596000000001,47.407538,0.0,120
8591087,8.564798,47.375735999999996,8591087,8.564798,47.375735999999996,0.0,120
