id1,lon1,lat1,h1,id2,lon2,lat2,h2,dh,Distance(m),speed,Transfer_time (s)
8503010,8.530805,47.364098999999996,409,8503010,8.530805,47.364098999999996,409,0.0,0.0,50.0,120
8503010,8.530805,47.364098999999996,409,8591058,8.531574,47.364128,409,0.0,64.06606024804773,50.0,180
8503010,8.530805,47.364098999999996,409,8591059,8.530457,47.364552,414,5.0,58.315459094646386,49.95,180
8503010,8.530805,47.364098999999996,409,8591205,8.526536,47.365066,425,16.0,371.46954536271176,49.84,540
8503010,8.530805,47.364098999999996,409,8591283,8.531557000000001,47.360719,418,9.0,381.1175823505929,49.91,540
8503010,8.530805,47.364098999999996,409,8591317,8.535041,47.363384,408,-1.0,361.3119285571673,50.01,540
8503010,8.530805,47.364098999999996,409,8591404,8.532528999999998,47.366141999999996,409,0.0,268.6714884741837,50.0,420
8503010,8.530805,47.364098999999996,409,8591414,8.526506,47.361666,419,10.0,448.589642215233,49.9,600
8503011,8.523462,47.371472,405,8503011,8.523462,47.371472,405,0.0,0.0,50.0,120
8503011,8.523462,47.371472,405,8573710,8.524189,47.371429,405,0.0,60.67934155912115,50.0,180
8503011,8.523462,47.371472,405,8591079,8.525556,47.374169,411,6.0,346.88696745123355,49.94,480
8503011,8.523462,47.371472,405,8591218,8.52101,47.374598,412,7.0,403.11138635558603,49.93,600
8503011,8.523462,47.371472,405,8591227,8.524265,47.374505,411,6.0,343.8616673445178,49.94,480
8503011,8.523462,47.371472,405,8591341,8.519264,47.370153,414,9.0,378.94316693678724,49.91,540
8503011,8.523462,47.371472,405,8591427,8.526843,47.372322,411,6.0,296.8351622671603,49.94,420
8503015,8.529359,47.393032,425,8503015,8.529359,47.393032,425,0.0,0.0,50.0,120
8503015,8.529359,47.393032,425,8591066,8.529525999999999,47.393444,431,6.0,48.24790223119463,49.94,120
8503015,8.529359,47.393032,425,8591240,8.532049,47.39566,456,31.0,369.399384408547,49.69,540
8503015,8.529359,47.393032,425,8591251,8.532739,47.390571,429,4.0,392.4205905385324,49.96,540
8503015,8.529359,47.393032,425,8591292,8.533436,47.392256,438,13.0,350.27879125287933,49.87,540
8503015,8.529359,47.393032,425,8591323,8.525464,47.394328,425,0.0,354.6933851094494,50.0,540
8503015,8.529359,47.393032,425,8591437,8.523574,47.392592,409,-16.0,484.0995715069662,50.16,660
8503016,8.562386,47.450383,430,8503016,8.562386,47.450383,430,0.0,0.0,50.0,120
8503016,8.562386,47.450383,430,8573205,8.563727,47.450441,447,17.0,113.0600601223724,49.83,240
8503016,8.562386,47.450383,430,8580301,8.565657,47.452653000000005,447,17.0,371.60668272189196,49.83,540
