Day,Trip_ID,Type,Line_ID,Start_Station,Start_ID,Start_Time,Start_Delay,Stop_Station,Stop_ID,Stop_Time,Stop_Delay
2019-05-15,85:11:18256:001,Zug,18256,Zürich HB,8503000,2019-05-15 15:14:00,0.0,Zürich Oerlikon,8503006,2019-05-15 15:18:00,0.0
2019-05-15,85:11:18257:001,Zug,18257,Zürich Oerlikon,8503006,2019-05-15 15:11:00,0.0,Zürich HB,8503000,2019-05-15 15:16:00,0.0
2019-05-15,85:11:18257:001,Zug,18257,Zürich HB,8503000,2019-05-15 15:17:00,0.0,Zürich Wiedikon,8503011,2019-05-15 15:19:00,0.0
2019-05-15,85:11:18257:001,Zug,18257,Zürich Wiedikon,8503011,2019-05-15 15:19:00,0.0,Zürich Enge,8503010,2019-05-15 15:23:00,0.0
2019-05-15,85:11:18258:001,Zug,18258,Zürich Enge,8503010,2019-05-15 15:36:00,0.0,Zürich Wiedikon,8503011,2019-05-15 15:37:00,0.0
2019-05-15,85:11:18258:001,Zug,18258,Zürich Wiedikon,8503011,2019-05-15 15:37:00,0.0,Zürich HB,8503000,2019-05-15 15:42:00,0.0
2019-05-15,85:11:18258:001,Zug,18258,Zürich HB,8503000,2019-05-15 15:44:00,0.0,Zürich Oerlikon,8503006,2019-05-15 15:48:00,0.0
2019-05-15,85:11:18259:001,Zug,18259,Zürich Oerlikon,8503006,2019-05-15 15:41:00,0.0,Zürich HB,8503000,2019-05-15 15:46:00,0.0
2019-05-15,85:11:18259:001,Zug,18259,Zürich HB,8503000,2019-05-15 15:47:00,0.0,Zürich Wiedikon,8503011,2019-05-15 15:49:00,0.0
2019-05-15,85:11:18259:001,Zug,18259,Zürich Wiedikon,8503011,2019-05-15 15:49:00,0.0,Zürich Enge,8503010,2019-05-15 15:53:00,0.0
2019-05-15,85:11:18260:001,Zug,18260,Zürich Enge,8503010,2019-05-15 16:06:00,0.0,Zürich Wiedikon,8503011,2019-05-15 16:07:00,0.0
2019-05-15,85:11:18260:001,Zug,18260,Zürich Wiedikon,8503011,2019-05-15 16:07:00,0.0,Zürich HB,8503000,2019-05-15 16:12:00,0.0
2019-05-15,85:11:18260:001,Zug,18260,Zürich HB,8503000,2019-05-15 16:14:00,0.0,Zürich Oerlikon,8503006,2019-05-15 16:18:00,0.0
2019-05-15,85:11:18261:001,Zug,18261,Zürich Oerlikon,8503006,2019-05-15 16:11:00,0.0,Zürich HB,8503000,2019-05-15 16:16:00,0.0
2019-05-15,85:11:18261:001,Zug,18261,Zürich HB,8503000,2019-05-15 16:17:00,0.0,Zürich Wiedikon,8503011,2019-05-15 16:19:00,0.0
2019-05-15,85:11:18261:001,Zug,18261,Zürich Wiedikon,8503011,2019-05-15 16:19:00,0.0,Zürich Enge,8503010,2019-05-15 16:23:00,0.0
2019-05-15,85:11:18262:001,Zug,18262,Zürich Enge,8503010,2019-05-15 16:36:00,0.0,Zürich Wiedikon,8503011,2019-05-15 16:37:00,0.0
2019-05-15,85:11:18262:001,Zug,18262,Zürich Wiedikon,8503011,2019-05-15 16:37:00,0.0,Zürich HB,8503000,2019-05-15 16:42:00,0.0
2019-05-15,85:11:18262:001,Zug,18262,Zürich HB,8503000,2019-05-15 16:44:00,0.0,Zürich Oerlikon,8503006,2019-05-15 16:48:00,0.0
2019-05-15,85:11:18263:001,Zug,18263,Zürich Oerlikon,8503006,2019-05-15 16:41:00,0.0,Zürich HB,8503000,2019-05-15 16:46:00,0.0
2019-05-15,85:11:18263:001,Zug,18263,Zürich HB,8503000,2019-05-15 16:47:00,0.0,Zürich Wiedikon,8503011,2019-05-15 16:49:00,0.0
2019-05-15,85:11:18263:001,Zug,18263,Zürich Wiedikon,8503011,2019-05-15 16:49:00,0.0,Zürich Enge,8503010,2019-05-15 16:53:00,0.0
2019-05-15,85:11:18264:001,Zug,18264,Zürich Enge,8503010,2019-05-15 17:06:00,0.0,Zürich Wiedikon,8503011,2019-05-15 17:07:00,0.0
2019-05-15,85:11:18264:001,Zug,18264,Zürich Wiedikon,8503011,2019-05-15 17:07:00,0.0,Zürich HB,8503000,2019-05-15 17:12:00,0.0
2019-05-15,85:11:18264:001,Zug,18264,Zürich HB,8503000,2019-05-15 17:14:00,0.0,Zürich Oerlikon,8503006,2019-05-15 17:18:00,0.0
2019-05-15,85:11:18265:001,Zug,18265,Zürich Oerlikon,8503006,2019-05-15 17:11:00,0.0,Zürich HB,8503000,2019-05-15 17:16:00,0.0
